Station,River Name,Station Height,Latitude,Longitude,OUTFLOW,Last Reading at,Max. Peak,INFLOW
Panjnad,Chenab River,100 m,29.3464,71.0202,"8,385 (Rising Trend)",15-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","14,385 (Rising Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"25,555 (Falling Trend)",15-Dec 06 PKT,"38,315 (NORMAL on 11-Dec)","4,000 (Falling Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"33,297 (Falling Trend)",15-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","37,634 (Falling Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"5,550 (Falling Trend)",15-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","34,530 (Falling Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"8776678(Falling Trend)",15-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","13,210 (Falling Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"18,300 (Falling Trend)",16-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","19,000 (Falling Trend)"
KABUL,Kabul River,287 m,34.0067,71.9770,"6,800 (Rising Trend)",16-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"50,113 (Rising Trend)",16-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","55,613 (Rising Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"30,038 (Rising Trend)",16-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","33,722 (Rising Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"25,259 (Falling Trend)",16-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","30,667 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,0 (Steady Trend),16-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","1,849 (Falling Trend)"
Trimmu,Chenab River,149 m,31.1448,72.1460,"8,373 (Falling Trend)",16-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","15,573 (Falling Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"10,735 (Rising Trend)",16-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","16,735 (Rising Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"33,655 (Rising Trend)",16-Dec 06 PKT,"38,315 (NORMAL on 11-Dec)","3,500 (Falling Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"30,022 (Falling Trend)",16-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","34,432 (Falling Trend)"
Sukkur,Indus River,57 m,27.6790,68.8462,"6,245 (Rising Trend)",16-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","34,845 (Rising Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"756566 (Falling Trend)",16-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","12,460 (Falling Trend)"
